homelat,homelon,homecontinent,country,n
34.431923,74.123996,South Asia,India,0
34.432168,44.935032,Middle East & North Africa,Iraq,1
34.432587,41.229725,Middle East & North Africa,Iraq,9
34.432778,35.916389,Middle East & North Africa,Lebanon,4
34.432904,71.419881,South Asia,Pakistan,0
34.433267,68.814039,South Asia,Afghanistan,0
34.433296,44.172177,Middle East & North Africa,Iraq,2
34.433601,35.845879,Middle East & North Africa,Lebanon,0
34.434059,71.362511,South Asia,Pakistan,0
34.434148,35.837488,Middle East & North Africa,Lebanon,0
34.434167,70.447778,South Asia,Afghanistan,0
34.434195,74.090226,South Asia,India,0
34.434262,35.842166,Middle East & North Africa,Lebanon,0
34.434455,61.439106,South Asia,Afghanistan,4
